study_hours,attendance,internal_marks,practice_hours,performance
3.08,85.13,64,3.21,Average
2.58,74.26,73,3.33,Average
6.62,95.19,69,3.21,Good
2.76,77.9,80,2.12,Average
4.0,75.5,56,1.33,Average
2.94,85.75,60,3.42,Average
5.83,87.14,80,4.37,Good
1.24,79.45,63,1.58,Average
3.14,75.5,68,0.88,Average
7.76,94.21,77,3.58,Good
3.45,91.47,85,4.6,Good
1.34,83.69,28,1.19,Poor
4.82,85.5,73,2.44,Average
2.3,84.27,72,2.53,Average
4.55,85.73,70,2.81,Average
3.62,69.21,57,3.27,Average
4.49,80.83,71,5.35,Good
1.1,59.97,54,2.35,Poor
0.4,87.31,46,0.0,Poor
1.39,51.68,67,1.07,Poor
2.1,67.45,53,1.09,Poor
4.06,85.97,83,2.59,Good
4.18,75.94,63,3.39,Average
2.27,63.4,49,0.0,Poor
3.88,84.76,52,1.24,Average
1.63,60.06,64,0.0,Poor
6.23,88.23,87,4.0,Good
0.81,74.02,36,1.61,Poor
3.18,68.36,75,0.5,Average
0.6,64.24,23,0.96,Poor
4.78,86.62,78,3.95,Good
5.19,90.58,84,4.31,Good
2.39,68.56,65,2.96,Average
3.18,74.86,53,2.55,Average
1.07,49.94,56,1.14,Poor
3.23,85.41,89,2.04,Average
3.97,80.08,40,2.36,Average
5.63,92.01,72,4.69,Good
0.75,83.55,64,1.66,Average
1.57,73.11,78,4.23,Average
3.24,73.04,60,0.5,Average
3.55,98.95,77,5.59,Good
0.16,45.39,50,0.9,Poor
4.38,92.36,69,2.89,Good
0.0,54.39,43,1.87,Poor
6.0,97.46,99,2.43,Good
3.33,89.74,67,2.92,Average
2.13,82.97,70,1.21,Average
4.45,87.62,90,4.19,Good
3.29,95.83,93,4.45,Good
3.36,72.48,42,1.84,Average
0.56,71.33,39,2.68,Poor
3.68,66.15,54,2.06,Average
1.72,62.98,36,1.78,Poor
4.1,88.09,90,4.72,Good
0.35,75.35,45,0.0,Poor
4.71,85.41,75,3.24,Good
1.73,63.52,48,0.97,Poor
5.17,85.2,68,2.42,Good
4.93,76.79,77,5.22,Good
4.39,94.27,84,4.51,Good
0.92,67.78,53,1.99,Poor
2.81,70.15,64,1.52,Average
5.94,83.55,78,3.62,Good
4.87,97.04,62,1.85,Good
2.34,80.1,28,0.7,Poor
5.21,89.13,86,3.33,Good
1.08,63.13,58,1.99,Poor
4.43,72.6,64,2.27,Average
4.44,82.23,67,4.7,Good
4.62,71.11,52,0.5,Average
6.51,84.41,77,4.43,Good
3.12,79.76,65,0.97,Average
4.61,90.95,94,2.62,Good
5.07,80.6,80,4.62,Good
1.18,84.59,43,0.76,Poor
6.03,92.95,89,3.91,Good
0.97,71.79,46,0.12,Poor
0.99,55.57,36,1.5,Poor
5.28,82.42,83,5.27,Good
1.56,52.95,51,1.32,Poor
5.26,86.31,72,3.3,Good
3.84,84.7,70,0.65,Average
1.3,79.37,78,1.28,Average
4.07,76.81,67,1.7,Average
3.03,90.99,86,3.38,Good
5.68,92.34,79,4.12,Good
5.06,93.99,68,3.58,Good
1.7,50.6,67,0.58,Poor
1.47,65.37,54,1.91,Poor
0.61,48.7,40,0.0,Poor
1.78,82.69,24,1.74,Poor
0.65,87.39,38,0.62,Poor
5.54,83.47,67,3.13,Good
5.18,88.46,83,5.84,Good
4.47,82.4,56,2.49,Average
0.74,48.98,38,2.23,Poor
1.1,67.51,50,1.57,Poor
2.04,45.38,37,0.76,Poor
0.7,72.11,36,0.32,Poor
4.44,95.46,97,5.42,Good
1.98,77.63,71,1.86,Average
3.62,68.0,72,1.63,Average
1.76,74.43,41,0.0,Poor
0.0,64.97,44,0.95,Poor
5.89,88.46,71,3.04,Good
5.2,91.47,72,4.22,Good
1.85,67.99,41,1.04,Poor
2.23,58.4,40,1.74,Poor
3.71,90.81,83,2.47,Good
1.13,81.42,63,1.98,Average
1.93,65.44,29,0.49,Poor
2.21,82.75,61,1.8,Average
6.31,96.51,69,5.7,Good
1.46,72.14,50,1.26,Poor
2.48,88.42,60,2.13,Average
1.01,63.13,33,0.75,Poor
3.57,87.67,99,4.76,Good
5.9,83.05,73,5.0,Good
1.53,86.45,71,2.17,Average
0.84,77.25,56,2.05,Poor
2.76,76.08,64,1.72,Average
0.91,58.12,58,0.91,Poor
2.7,78.48,68,0.92,Average
3.62,80.25,58,2.45,Average
1.49,81.5,66,3.34,Average
3.62,90.46,54,1.44,Average
2.21,79.54,59,2.39,Average
1.08,61.81,30,0.49,Poor
6.49,85.16,76,3.75,Good
1.72,76.36,65,2.06,Average
3.89,90.94,74,5.17,Good
4.88,82.15,87,5.18,Good
2.8,88.69,58,3.08,Average
2.15,44.36,66,0.16,Poor
1.42,88.22,58,0.68,Poor
4.78,87.28,97,3.84,Good
2.05,45.09,47,0.84,Poor
4.83,90.38,74,2.85,Good
